Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
100140,0,International Brigade Commemoration Committee,08/09/2014,Up-to-date,31 March 2016,2264,3298,0,0,0,"44 Cedar Avenue, Belfast., BT15 5AT",http://irelandscw.com,,02890779394,0,"The advancement of education,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,General public,Men,Women,Youth (14-25 year olds)","Advice/advocacy/information,Cross-border/cross-community,Cultural,Education/training,Heritage/historical,Human rights/equality",
100141,0,Forthspring Inter Community Group,16/06/2014,Up-to-date,31 December 2015,235186,253055,0,0,0,"Forthspring Inter Community Group, 373-375 Springfield Road, Belfast., BT12 7DG",www.forthspring.org,fscoordinator@btconnect.com,02890313945,31276,The advancement of citizenship or community development,"Adult training,Children (5-13 year olds),Interface communities,Men,Older people,Parents,Unemployed/low income,Volunteers,Women,Youth (14-25 year olds)","Community development,Cross-border/cross-community,Education/training,Playgroup/after schools,Relief of poverty,Sport/recreation,Volunteer development,Youth development",
100142,0,The Institute Of Irish Leadership,20/06/2014,Up-to-date,31 December 2015,6339,6474,0,0,0,"20 The Diamond, Pomeroy, Dungannon, County Tyrone., BT70 2QX",www.instituteofirishleadership.org/,kathleenburnsiil@googlemail.com,02887757800,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Adult training,General public","Advice/advocacy/information,Arts,Community development,Cultural,Education/training,Heritage/historical",
100143,0,Kilkeel Playgroup,13/06/2014,Up-to-date,30 June 2016,27337,32300,0,0,0,"The Leisure Centre, Mourne Esplanade, Kilkeel, Newry, Co Down., BT34 4DB",,kilkeelplaygroup@gmail.com,02841769698,0,"The advancement of education,The advancement of health or the saving of lives",Preschool (0-5 year olds),Playgroup/after schools,
100144,0,Bryson Lagansports,06/06/2014,Up-to-date,31 March 2016,157245,225401,0,0,0,"Bryson House, 28 Bedford Street, Belfast., BT2 7FE",www.brysonlagansports.org,info@brysonlagansports.org,02890832311,28941,Other charitable purposes,"Children (5-13 year olds),Interface communities,Learning disabilities,Older people,Physical disabilities,Women,Youth (14-25 year olds)","Education/training,Sport/recreation,Youth development",
100145,0,Carrickfergus Congregational Church,28/10/2014,Up-to-date,31 December 2015,90358,114866,0,0,0,"78 Coronation Road, Carrickfergus, County Antrim., BT38 7HD",,,07810 608071,0,The advancement of religion,"Children (5-13 year olds),General public,Men,Older people,Preschool (0-5 year olds),Youth (14-25 year olds)","Playgroup/after schools,Religious activities,Volunteer development,Youth development",
100146,0,Carcullion Gateway Hilltown,12/09/2014,Up-to-date,31 August 2016,9518,5717,0,0,0,"105 Rostrevor Road, Hilltown, Newry, County Down., BT345TZ",,carculliongateway@btinternet.com,02840638220,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Learning disabilities,Parents,Physical disabilities,Voluntary and community sector,Volunteers","Community development,Disability,Sport/recreation,Volunteer development",
100147,0,Iontaobhas Na Gaelscolaíochta,11/08/2014,Up-to-date,31 March 2016,140384,134075,0,0,0,"199 Falls Road, Belfast., BT12 6FB",www.iontaobhasnag.com,eolas@iontaobhasnag.com,02890241510,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),Language community,Parents","Advice/advocacy/information,Grant making",
100148,0,Portaferry And Strangford Trust Limited,09/07/2014,Due documents received late,31 December 2015,13597,12214,0,0,0,"12 The Quay, Strangford, Downpatrick, BT30 7NH",,james@elliottspond.net,07974724756,621790,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","Homelessness,Tenants,Voluntary and community sector","Accommodation/housing,Community development,Community enterprise,Education/training,Environment/sustainable development/conservation,Heritage/historical,Urban development",
100149,0,Women's Resource And Development Agency Company Limited,22/07/2014,Up-to-date,31 March 2016,330358,374062,0,0,0,"Womens Resource & Development, Agency, 6 Mount Charles, Belfast., BT7 1NZ",www.wrda.net,info@wrda.net,028 9023 0212,22541,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Ethnic minorities,Voluntary and community sector,Women","Community development,Education/training,Human rights/equality",
100150,0,Flax Art Studios Ltd,22/07/2014,Up-to-date,31 January 2016,69886,68002,0,0,0,"Flax Art Studios Ltd, 44-46 Corporation Street, Belfast., BT1 3DE",www.flaxartstudios.com,flaxartstudios@gmail.com,02890234300,27190,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Adult training,General public,Unemployed/low income,Voluntary and community sector,Youth (14-25 year olds)","Arts,Community development,Cultural,Education/training",
100152,0,Maiden Voyage (Ni) Ltd,21/07/2014,Up-to-date,31 March 2016,127006,111812,0,0,0,"Second Floor, 35 Donegall Street, Belfast., BT1 2FG",www.maidenvoyagedance.com,info@maidenvoyagedance.com,02890330925,41616,"The advancement of the arts, culture, heritage or science","Adult training,Children (5-13 year olds),General public,Youth (14-25 year olds)","Arts,Education/training",
100153,0,Londonderry Young People's Convention,03/07/2014,Up-to-date,29 February 2016,2667,3257,0,0,0,"6 Lismacarol Park, Drumahoe, Londonderry., BT47 3XT",,randrdale@hotmail.com,02871301859,0,The advancement of religion,General public,Religious activities,
100154,0,Hope And A Future,16/04/2014,Up-to-date,31 March 2016,242419,257137,0,0,0,"7 New Street, Randalstown, Antrim., BT41 3AF",www.hopeandafuture.co.uk,info@hopeandafuture.co.uk,02894479138,622198,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Overseas/developing countries,Physical disabilities","Education/training,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty",
100155,0,Newpoint Players,06/05/2014,Up-to-date,05 April 2016,17346,14967,0,0,0,"Woodleigh, 16 Windsor Avenue, Newry, County Down., BT341EG",www.facebook.com/groups/6772098281/,newpointplayers@gmail.com,07736699189,0,"The advancement of education,The advancement of the arts, culture, heritage or science","General public,Voluntary and community sector,Youth (14-25 year olds)","Arts,Cross-border/cross-community,Cultural,Education/training,Volunteer development,Youth development",
100156,0,Hillsborough Community Centre Limited,06/05/2014,Up-to-date,30 June 2016,97331,97772,0,0,0,"The Village Centre, 7 Ballynahinch Road, Hillsborough, County Down., BT26 6AR",www.hillsboroughvillagecentre.com,info@hillsboroughvillagecentre.com,02892683015,43401,"The advancement of education,The advancement of citizenship or community development",General public,"Community development,Community enterprise,Sport/recreation",
100157,0,Aghalee Village Hall,17/09/2014,Up-to-date,31 December 2016,26827,39045,0,0,0,"15 Derryash Road, Aghalee, Craigavon, County Armagh, BT67 0EQ",www.aghaleevillagehall.org.uk,aghalee.vhall@btinternet.com,02892 651825,0,The advancement of citizenship or community development,General public,"Community development,Cultural,Education/training,Rural development,Sport/recreation,Welfare/benevolent",
100158,0,Hands That Talk,03/06/2014,Up-to-date,31 March 2016,171354,177706,0,0,0,"116 Main Street, Dungiven, BT47 4LG",www.handsthattalk.co.uk,info@handsthattalk.co.uk,028 77742776,47688,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Adult training,General public,Language community,Sensory disabilities,Specific areas of deprivation","Advice/advocacy/information,Counselling/support,Cultural,Education/training,Human rights/equality,Research/evaluation,Rural development,Sport/recreation",
100159,0,North West Age Of Enlightenment Association,03/12/2014,Up-to-date,05 April 2016,1468,1024,0,0,0,"206A Glenelly Road, Omagh, BT79 8LW",,mccorm34@hotmail.com,02881648470,0,"The advancement of education,The advancement of health or the saving of lives","General public,Mental health","Community development,Medical/health/sickness,Welfare/benevolent",
100160,0,Tanzania Christian Farm Development Trust (Ni),21/05/2014,Up-to-date,05 April 2016,55018,49126,0,0,0,"58A Craigadoo Road, Moorfields, Ballymena, County Antrim., BT42 4RD",www.tcfdt.org,secretary@tcfdt.org,07762733232,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Overseas/developing countries,Preschool (0-5 year olds)","Accommodation/housing,Education/training,General charitable purposes,Relief of poverty,Religious activities",
100161,0,Fermanagh Rural Community Network,06/05/2014,Up-to-date,31 March 2016,201705,192113,0,0,0,"Fermanagh Rural Community Network, Intec Centre, 36 East Bridge Street, Enniskillen, County Fermanagh., BT74 7BT",www.fermanaghrcn.org,info@fermanaghrcn.org,028 6632 7006,50070,"The prevention or relief of poverty,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Voluntary and community sector","Advice/advocacy/information,Community development,Cross-border/cross-community,Education/training,Rural development",
100162,0,Bellanaleck Partnership Ltd,09/09/2014,Up-to-date,30 June 2016,13379,21001,0,0,0,"79 Oakfield Road, Garvary, Enniskillen, Co Fermanagh., BT92 2GN",,,02866322795,55650,The advancement of citizenship or community development,"Adult training,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Community enterprise,Education/training,Religious activities,Volunteer development,Youth development",
100163,0,Kids4school,18/04/2014,Up-to-date,31 December 2015,286128,187978,0,0,0,"Ncm House, 218 York Street, Belfast, BT15 1GY",www.kids4school.org,info@kids4school.org,28 2827 2998,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Youth (14-25 year olds)",Education/training,
100165,0,Carnany Community Association,21/05/2014,Due documents received late,31 March 2016,9438,11817,0,0,0,"17 Carnany Drive, Ballymoney, County Antrim., BT53 7HR",,lizzy.k@live.co.uk,028 276 66900,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development","Adult training,Children (5-13 year olds),General public,Older people,Unemployed/low income,Volunteers","Accommodation/housing,Community development,Education/training,Relief of poverty,Volunteer development",
100166,0,University Of Ulster,14/08/2014,Up-to-date,31 July 2016,188466000,191532000,0,0,0,"University Of Ulster, Cromore Road, Coleraine, County Londonderry., BT52 1SA",www.ulster.ac.uk,finance@ulster.ac.uk,028 70123152,0,The advancement of education,General public,"Advice/advocacy/information,Education/training,Research/evaluation",
100167,0,Neurodiversity Uk,21/07/2014,Up-to-date,05 April 2016,31019,30467,0,0,0,"14 Upper Crescent, Comber, Newtownards, County Down., BT23 5BH",,comber.asg@outlook.com,02891874626,0,"The advancement of education,The advancement of citizenship or community development","General public,Learning disabilities,Mental health,Sensory disabilities","Advice/advocacy/information,Community development,Counselling/support,Disability,Education/training,Medical/health/sickness",
100168,0,Gasyard Wall Feile,06/05/2014,Due documents received late,31 March 2016,75622,94890,0,0,0,"Linda Mc Kinney, 128 Lecky Road, Derry., BT48 6NP",,,02871262812,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Children (5-13 year olds),Community safety/crime prevention,Interface communities,Learning disabilities,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Community development,Cultural,Education/training,General charitable purposes,Grant making,Volunteer development",
100170,0,Diamond Senior Citizens Club,08/05/2014,Up-to-date,30 April 2016,3739,4489,0,0,0,"46 Columbkille Road, Portadown, Craigavon, County Armagh., BT62 1TY",,magherydiamond@me.com,02838851113,0,"The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Men,Older people,Physical disabilities,Specific areas of deprivation,Voluntary and community sector,Women","Counselling/support,Disability,Medical/health/sickness,Volunteer development",
100171,0,Creggan Education & Research Services Ltd,13/05/2014,Due documents received late,31 August 2016,176861,181030,0,0,0,"397 Crockanboy Road, Creggan, Omagh, County Tyrone., BT799AF",www.ancreagan.com,info@ancreagan.com,02880761112,29322,"The advancement of education,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","Children (5-13 year olds),General public,Older people,Preschool (0-5 year olds),Volunteers","Arts,Education/training,Environment/sustainable development/conservation",
100172,0,Killicomaine Residents Group,06/05/2014,Up-to-date,31 March 2016,5352,4594,0,0,0,"18 Granville Road, Portadown, Craigavon, County Armagh., BT63 5DP",,k.r.g@btconnect.com,02838 392469,0,"The advancement of education,The advancement of citizenship or community development","Adult training,Community safety/crime prevention,General public,Older people,Tenants,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Education/training,Volunteer development",
100173,0,The Lyric Theatre (Ni),26/01/2015,Up-to-date,31 March 2016,3317246,3497453,0,0,0,"Lyric Theatre, 55 Ridgeway Street, Belfast., BT9 5FB",www.lyrictheatre.co.uk,info@lyrictheatre.co.uk,02890385671,66152,"The advancement of education,The advancement of the arts, culture, heritage or science","Adult training,Children (5-13 year olds),General public,Preschool (0-5 year olds),Youth (14-25 year olds)","Arts,Education/training,Heritage/historical,Youth development",
100174,0,Zest - Healing The Hurt Ltd,30/05/2014,Up-to-date,31 March 2016,299622,264015,0,0,0,"Zest Healing The Hurt Ltd, 15A Queen Street, Derry, BT48 7EQ",www.zestni.org,zest@zestni.co.uk,02871 266999,55213,The advancement of health or the saving of lives,"General public,Mental health","Counselling/support,Education/training,Medical/health/sickness,Research/evaluation,Volunteer development",
100175,0,North Belfast Foodbank,16/05/2014,Up-to-date,31 March 2017,11402,9995,0,0,0,"19 North Circular Road, Belfast., BT15 5HB",www.northbelfast.foodbank.org.uk,info@northbelfast.foodbank.org.uk,07902099840,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Ethnic minorities,General public,Homelessness,Unemployed/low income,Volunteers,Women","Advice/advocacy/information,Relief of poverty,Volunteer development",
100177,0,Belfast Celtic Society,01/07/2014,Up-to-date,31 March 2016,2410,2091,0,0,0,"Unit 3 Park Centre, Donegall Road, Belfast., BT12 6HN",www.belfastceltic.org,webmaster@belfastceltic.org,07803161359,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),General public,Men,Mental health,Older people,Youth (14-25 year olds)","Education/training,Heritage/historical",
100178,0,King George Vi Northern Ireland Youth Council,22/01/2015,Up-to-date,05 April 2016,9524,8787,0,0,0,"J R Mckee & Co, 32 Hillsborough Road, Lisburn, County Antrim., BT28 1AQ",,,02892665697,0,"The advancement of education,The advancement of amateur sport",Youth (14-25 year olds),Grant making,
100179,0,Biblical Rural Evangelism And Development,01/07/2014,Up-to-date,31 December 2015,18159,13885,0,0,0,"12 Tullagh Brow, Ballymena, United Kingdom., BT422LY",,npkennedy@btinternet.com,02825656148,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion",Overseas/developing countries,"Education/training,Grant making,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty,Religious activities",
100180,0,Community & Voluntary Services,19/05/2014,Up-to-date,31 March 2016,41303,52106,0,0,0,"Western House, 3 Dungannon Road, Coalisland, Co. Tyrone, BT71 4HP",www.youcanhelp.org,youcanhelp@live.co.uk,02887747377,42986,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Community safety/crime prevention,Older people,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Education/training,Medical/health/sickness,Volunteer development",
100181,0,The Granary Trust,12/08/2014,Up-to-date,04 April 2016,400,435,0,0,0,"150 Moore Street, Aughnacloy, Co Tyrone., BT69 6AA",,david.ethne@btinternet.com,028 8555 7519,0,"The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","General public,Voluntary and community sector",Grant making,
100182,0,Farset Enterprise Park Limited,22/06/2015,Recently registered,,0,0,0,0,0,"638 Springfield Road, Belfast., BT12 7DY",,farsetenterprise@yahoo.co.uk,02890242373,20367,The advancement of citizenship or community development,"General public,Unemployed/low income,Voluntary and community sector","Economic development,Education/training",
100183,0,Little Diamonds Community Playgroup,17/11/2014,In default,,0,0,0,0,0,"Little Diamonds Community Playgroup, Diamond Centre, 630A Barnailt Road, Claudy, Co. Londonderry., BT47 4EA",,christinemcivor455@gmail.com,02871 337660,0,The advancement of education,"Carers,Ethnic minorities,General public,Parents,Physical disabilities,Preschool (0-5 year olds),Volunteers,Youth (14-25 year olds)","Community development,Cultural,Disability,Education/training,General charitable purposes,Playgroup/after schools,Relief of poverty,Rural development,Volunteer development",
100184,0,Hope 4 Me & Fibro Northern Ireland,01/07/2014,Up-to-date,31 March 2016,17032,19358,0,0,0,"25 Mcshanes Road, Bessbrook, Newry, County Down., BT35 7LZ",hope4mefibro.org,hope4mefibro@outlook.com,07712892834,0,"The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,General public,Mental health,Physical disabilities,Voluntary and community sector","Advice/advocacy/information,Disability,Medical/health/sickness,Research/evaluation,Volunteer development",
100185,0,"The Womenstec (Training, Enterprise & Childcare Centre)",30/09/2014,Due documents received late,31 March 2016,217445,197770,0,0,0,"Women'stec, 29 Chichester Avenue, Belfast., BT15 5EH",www.womenstec.org,,028 9074 9810,34272,"The prevention or relief of poverty,The advancement of education","Adult training,Ethnic minorities,Interface communities,Unemployed/low income,Women","Education/training,Gender",
100186,0,Banbridge Vip Club,09/07/2014,Up-to-date,31 March 2016,18229,17922,0,0,0,"244 Ballygowan Road, Dromore, County Down., BT25 1RH",,,02892 692783,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Older people,Sensory disabilities,Volunteers","Sport/recreation,Volunteer development",
100187,0,Women's Centre Derry Ltd,05/09/2014,Up-to-date,31 December 2015,391066,387912,0,0,0,"The Womens Centre, 5 Guildhall Street, Londonderry, BT48 6BB",https://thewomenscentre.co.uk,margaretlogue@womencentre.co.uk,028 7126 7672,33263,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Carers,Ethnic minorities,Ex-offenders and prisoners,General public,Parents,Preschool (0-5 year olds),Sexual orientation,Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Counselling/support,Cross-border/cross-community,Disability,Economic development,Education/training,Gender,Human rights/equality,Playgroup/after schools,Relief of poverty,Research/evaluation,Volunteer development,Youth development",
100188,0,Harvest Fields,14/06/2016,Recently registered,,0,0,0,0,0,"33 Cleveley Park, Belfast., BT8 6NB",,harvest.fields@btinternet.com,02890701481,0,"The advancement of education,The advancement of religion,The advancement of health or the saving of lives","Men,Women","General charitable purposes,Religious activities",
100189,0,New Lodge Housing Forum,19/08/2014,Up-to-date,31 December 2015,14809,14984,0,0,0,"4D Eithne House, Duncairn Parade, Belfast., BT15 2EW",,bernie.c@hotmail.co.uk,02890 742399,0,"The prevention or relief of poverty,The advancement of citizenship or community development,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Community safety/crime prevention,General public,Interface communities,Tenants,Unemployed/low income,Voluntary and community sector,Volunteers","Accommodation/housing,Advice/advocacy/information,Community development,Environment/sustainable development/conservation,Relief of poverty,Urban development",
100190,0,The Mid-Ulster Talking Newspaper Association,29/05/2014,Up-to-date,31 March 2016,5115,1129,0,0,0,"69 Moneymore Road, Cookstown, County Tyrone, Northern Ireland, BT80 8EH",,margaretchamilton@hotmail.com,02886762364,0,"The advancement of education,The advancement of the arts, culture, heritage or science,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Physical disabilities,Sensory disabilities","Advice/advocacy/information,Cultural,Disability",
100191,0,Happy Days Playgroup,22/07/2014,Up-to-date,30 June 2016,51514,55139,0,0,0,"Happy Days Play Group, School Lane, Coalisland, Dungannon, County Tyrone., BT71 4NW",,happydaysplaygroup@outlook.com,028 87746056,0,The advancement of education,"Preschool (0-5 year olds),Voluntary and community sector","Education/training,Playgroup/after schools",
100192,0,Trustees Of The Bequest Of Patrick Murphy Deceased,27/08/2014,Up-to-date,31 December 2015,1010,10995,0,0,0,"49 Downshire Road, Newry, County Down., BT34 1BA",,,02830265211,0,"The advancement of the arts, culture, heritage or science",General public,Grant making,
100193,0,Northdown Communityworks,12/05/2014,Up-to-date,31 March 2016,2666,408,0,0,0,"3 Glenford Way, Newtownards, County Down., BT23 4BX",,info@northdowncfc.com,02891821721,37440,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Carers,Children (5-13 year olds),General public,Men,Mental health,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Community enterprise,General charitable purposes,Grant making",
100194,0,Acorns For Autism,22/05/2014,Due documents received late,31 December 2015,19204,14421,0,0,0,"St Luke's Hospital, 71 Loughgall Road, Armagh, Bt61 7Nq, BT61 7NQ",,acorns4autism@gmail.com,07876505839,0,"The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Children (5-13 year olds),Learning disabilities,Men,Mental health,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Sensory disabilities,Unemployed/low income,Volunteers,Women,Youth (14-25 year olds)","Community development,Counselling/support,Disability,Education/training,Environment/sustainable development/conservation,Medical/health/sickness,Volunteer development",
100195,0,Gateway Christian Fellowship,29/10/2014,Due documents received late,31 December 2015,45316,43618,0,0,0,"11 Cloverhill Avenue, Drumahoe, Londonderry, BT47 3SH",www.gatewaycfderry.org,,028 7130 1142,0,The advancement of religion,General public,Religious activities,
100196,0,Derrytrasna Senior Citizens Committee,28/04/2014,Up-to-date,31 August 2016,23784,14771,0,0,0,"168 Derrytrasna Road, Lurgan, Craigavon, County Armagh., BT66 6NR",,eileenmcalinden@yahoo.co.uk,02838340556,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Older people,"Advice/advocacy/information,Arts,Sport/recreation",
100197,0,Freedom Life Centre International,18/08/2014,Due documents received late,31 December 2015,7580,7177,0,0,0,"23 Cranny Lane, Portadown, Craigavon., County Armagh, BT63 5SW",,marinaadams1@icloud.com,028 3834 2001,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Homelessness,Overseas/developing countries,Preschool (0-5 year olds),Unemployed/low income,Victim support,Youth (14-25 year olds)","Education/training,Grant making,Medical/health/sickness,Relief of poverty",
100198,0,Beyond The Battlefield,23/05/2014,Due documents received late,01 April 2016,13614,33906,0,0,0,"Ards Business Centre Ltd, Strangford Park, 19 Jubilee Road, Newtownards., County Down, BT23 4YH",www.beyondthebattlefield.org,info@beyondthebattlefield.org,02891228389,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Community safety/crime prevention,Homelessness,Mental health,Physical disabilities,Victim support,Volunteers","Counselling/support,Cross-border/cross-community,Disability,General charitable purposes,Medical/health/sickness,Welfare/benevolent",
100199,0,"The Irish Association For Cultural, Economic And Social Relations",15/09/2014,Up-to-date,31 March 2016,7357,6731,0,0,0,"41 Seaview, Warrenpoint, Newry, County Down., BT34 3NJ",www.irish-association.org,dotierney@talktalk.net,028 41773630,0,"The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity",General public,Cross-border/cross-community,
100200,0,Garvagh & District Community Association,01/09/2014,Due documents received late,31 October 2015,10471,15016,0,0,0,"50 Carn Road, Castlederg, Co Tyrone., BT81 7UX",,garvaghhall@gmail.com,02881679704,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Ex-offenders and prisoners,General public,Learning disabilities,Mental health,Older people,Parents,Preschool (0-5 year olds),Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Cross-border/cross-community,Education/training,Gender,General charitable purposes,Grant making,Playgroup/after schools,Relief of poverty,Rural development,Sport/recreation,Youth development",
100201,0,True Harvest Seeds,02/06/2014,Up-to-date,31 December 2016,10646,10794,0,0,0,"36 Ardglass Road, Kilclief, Downpatrick, Co Down., BT30 7NN",www.trueharvestseeds.co.uk,info@trueharvestseeds.co.uk,02844881736,621885,"The advancement of education,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","Adult training,Children (5-13 year olds),General public,Older people,Volunteers,Youth (14-25 year olds)","Education/training,Environment/sustainable development/conservation,Heritage/historical,Research/evaluation,Rural development",
100202,0,Ryan Phillips Memorial Trust,03/06/2014,Up-to-date,31 March 2016,28288,48990,0,0,0,"Belfast Hospital For Sick Children, 180 Falls Road, Belfast, BT12 6BE",,,02890 632051,0,"The prevention or relief of poverty,The advancement of health or the saving of lives","Children (5-13 year olds),Parents,Preschool (0-5 year olds)","General charitable purposes,Research/evaluation",
100203,0,100 Help The Homeless,07/05/2014,In default,,0,0,0,0,0,"95 Beechmount Parade, Belfast, BT127LX",www.100helpthehomeless.com,info@100helpthehomeless.com,07842636166,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Ex-offenders and prisoners,Homelessness,Specific areas of deprivation,Unemployed/low income","Accommodation/housing,Advice/advocacy/information,Education/training,General charitable purposes,Human rights/equality,Relief of poverty",
100204,0,Wave Trauma Centre,07/08/2014,Up-to-date,31 March 2016,1489570,1389998,0,0,0,"Wave Trauma Centre, 5 Chichester Park South, Belfast., BT15 5DW",www.wavetraumacentre.org.uk,adminhq@wavetrauma.org,02890779922,39420,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Children (5-13 year olds),Mental health,Victim support,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Education/training,Relief of poverty",
100205,0,Immanuel Studios,06/11/2014,Up-to-date,05 April 2016,24052,26627,0,0,0,"10 Meadow Drive, Ballyclare, County Antrim., BT39 9XF",immanuelstudios.org,,028 93352270,0,"The advancement of education,The advancement of religion,The advancement of citizenship or community development","Children (5-13 year olds),Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,Youth development",
100207,0,Cairde Cheathrú Na Gaeltachta,23/09/2014,Up-to-date,31 March 2016,4924,3822,0,0,0,"7 Beechview Park, Co Antrim, Belfast., BT12 7PY",,,028 90320707,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),General public,Language community,Youth (14-25 year olds)",Community development,
